-32,820,-240,0.0419998
-48,784,-244,0.0999985
0,404,840,0.160995
1592,-380,-696,0.221001
1908,-256,-512,0.275002
2040,-404,388,0.334
2040,-268,312,0.390999
2040,-132,-144,0.448997
1424,12,-396,0.506996
440,2040,-52,0.567001
-80,0,-268,0.626999
1852,308,-556,0.682999
2040,-336,-4,0.740997
2040,64,244,0.798996
2040,-240,-524,0.853996
1640,-432,144,0.914001
356,-240,124,0.973999
-116,-276,292,1.03
664,-232,-108,1.087
1836,-48,-480,1.144
2040,-148,-136,1.201
2040,-308,-16,1.258
2040,-4,116,1.314
1668,-12,152,1.374
576,164,-84,1.429
196,192,-328,1.488
328,148,24,1.544
1052,52,60,1.6
2040,-152,168,1.659
2040,-264,228,1.715
2040,-272,52,1.77299
1684,-80,-488,1.834
1092,-264,116,1.895
272,-132,0,1.95399
-84,-192,308,2.00999
812,-88,52,2.067
2040,44,-12,2.126
2040,-440,-120,2.186
2040,108,60,2.24599
1828,72,220,2.306
1060,64,116,2.362
368,40,124,2.42
348,264,-164,2.477
1040,92,80,2.533
2032,-8,128,2.59
2040,-356,-168,2.651
2040,-500,-180,2.706
2040,-404,180,2.762
1040,-340,164,2.82
400,-176,44,2.877
444,-116,-40,2.933
836,-160,100,2.993
1660,-232,108,3.053
2040,-196,232,3.113
2040,-112,-408,3.172
1920,-104,40,3.229
972,20,116,3.286
280,308,764,3.344
328,52,344,3.39899
764,332,120,3.459
1628,76,-428,3.519
2040,-392,-216,3.57899
2040,-216,104,3.634
1776,-192,156,3.692
840,-204,60,3.75
472,-164,48,3.806
424,-152,44,3.863
1016,-200,80,3.923
1936,-264,68,3.979
2040,-264,64,4.034
2040,-168,-28,4.092
1884,-8,-4,4.15
960,68,32,4.206
476,96,0,4.265
512,128,48,4.323
1160,28,88,4.379
1796,-108,144,4.43999
2040,-232,76,4.499
2040,-460,320,4.556
1704,-288,-144,4.612
1024,-108,92,4.671
444,-72,24,4.73199
540,-200,260,4.792
1356,-196,8,4.851
1968,-236,-76,4.909
2040,-284,-168,4.965
2040,-204,-44,5.02299
1580,224,244,5.083
728,76,144,5.144
516,144,188,5.20399
764,72,32,5.264
1664,-36,28,5.319
2040,-164,-180,5.377
2040,-300,116,5.433
1972,-224,64,5.488
1188,-252,92,5.544
676,-144,28,5.601
496,-168,52,5.658
836,-176,68,5.71799
928,956,-308,5.77399
664,548,-100,5.831
860,596,-24,5.889
680,880,-64,5.945
644,748,-116,6.004
532,356,100,6.064
668,884,-272,6.119
660,872,188,6.178
716,992,-196,6.234
688,940,32,6.291
668,832,-20,6.346
644,856,-96,6.404
