-80,1044,-140,0.0460205
-40,1004,-124,0.106018
28,756,-312,0.166992
200,-32,132,0.227051
252,-444,112,0.28302
784,-236,104,0.341003
1364,56,-68,0.39801
2020,100,16,0.454041
2040,-20,52,0.513
2040,-36,172,0.574036
2040,8,44,0.634033
2040,-60,-4,0.692993
2040,4,-48,0.75
1932,68,28,0.807007
1176,44,68,0.864014
556,72,40,0.920044
232,184,4,0.978027
148,132,-56,1.034
60,88,116,1.09399
472,148,-136,1.15302
760,260,24,1.21301
1384,152,-76,1.26801
2036,36,-96,1.32703
2040,-32,76,1.38605
2040,-76,96,1.44202
2040,-108,-44,1.49902
2040,-72,108,1.56
2040,-4,-56,1.61902
1732,-76,-68,1.67505
1040,-120,-52,1.73303
528,-132,-28,1.78802
324,-60,12,1.84503
132,-108,48,1.90503
164,-180,-24,1.96405
472,-88,16,2.02002
932,-64,116,2.07904
1552,-112,88,2.13904
2040,-176,32,2.19501
2040,-24,40,2.25201
2040,0,24,2.30603
2040,-16,0,2.36401
2040,12,-32,2.42004
2040,52,72,2.479
1664,64,20,2.54004
1040,140,36,2.599
580,168,-12,2.659
312,172,16,2.71503
236,148,-4,2.77203
372,128,-32,2.83099
724,132,36,2.89099
1244,100,-20,2.95203
1856,16,-28,3.00903
2040,-12,-36,3.065
2040,-56,4,3.12103
2040,-96,40,3.177
2040,-108,32,3.23199
2040,-108,36,3.29199
1876,-112,64,3.34705
1268,-128,24,3.40399
772,-96,24,3.45905
508,-104,16,3.51801
304,-96,32,3.573
320,-80,12,3.63104
512,-80,20,3.68604
920,-68,0,3.74603
1440,-76,52,3.80603
1804,-100,8,3.862
2040,-52,88,3.922
2040,-16,8,3.979
2040,-32,-24,4.03802
2040,16,36,4.09802
1944,52,12,4.159
1360,76,12,4.21405
920,140,12,4.27203
632,132,-20,4.32904
408,136,0,4.38605
388,156,8,4.44403
540,136,-12,4.505
876,96,28,4.565
1368,72,12,4.62
1696,24,48,4.677
2040,-8,32,4.73505
2040,-40,56,4.79199
2040,-104,-24,4.85101
2040,-108,-20,4.91101
1928,-84,32,4.97101
1392,-100,8,5.02704
1064,-116,40,5.08502
680,-100,36,5.14301
448,-80,-4,5.198
400,-108,20,5.258
544,-116,28,5.31799
868,-108,8,5.37701
1348,-88,20,5.43402
1664,-60,16,5.48804
2040,-60,0,5.54504
2040,-20,8,5.60004
2040,24,-40,5.659
2040,4,36,5.71405
1976,8,32,5.77002
1528,52,24,5.828
1052,80,36,5.88702
816,84,4,5.94403
548,152,-12,6.00104
460,224,4,6.05804
544,112,28,6.11401
836,44,-20,6.17401
1240,76,8,6.23401
1704,56,-20,6.29401
1964,-24,-20,6.35101
2040,-76,24,6.40704
2040,-112,-8,6.46503
2040,-80,56,6.526
1880,-96,76,6.586
1424,-116,16,6.64099
1020,-100,56,6.70001
768,-96,20,6.75702
476,-12,84,6.81305
468,-60,28,6.87201
640,-60,0,6.93201
896,-40,32,6.99103
1312,-56,-8,7.047
1744,-64,40,7.104
1956,-104,12,7.16205
2040,-16,52,7.21899
2040,0,24,7.27704
2040,12,0,7.33203
1708,28,40,7.39203
1472,104,-20,7.448
1048,112,16,7.50604
752,128,8,7.56104
548,112,-16,7.61902
568,120,12,7.67505
652,128,-12,7.73303
904,76,16,7.79303
1284,60,16,7.85004
1680,40,8,7.90601
2028,12,40,7.96002
2040,-40,16,8.021
2040,-108,36,8.07904
2016,-100,56,8.13702
1684,-64,0,8.19299
1300,-48,8,8.25104
936,-72,-8,8.30603
732,-68,0,8.367
588,-96,28,8.42603
572,-100,28,8.48102
736,-104,24,8.539
1032,-96,16,8.59601
1388,-56,20,8.65302
1660,-64,24,8.71301
1948,-48,12,8.77203
2040,-40,28,8.83203
2040,4,44,8.888
1836,32,20,8.94604
1496,64,36,9.00299
1136,96,-28,9.06201
944,112,36,9.11902
684,92,4,9.17902
620,100,4,9.23804
672,92,20,9.29504
872,76,24,9.35205
1184,44,28,9.41003
1420,24,28,9.466
1776,16,32,9.52502
2016,-44,20,9.58502
2032,-68,36,9.64099
1924,-80,28,9.698
1688,-84,4,9.75604
1420,-100,40,9.81305
1088,-84,20,9.87103
816,-88,24,9.927
656,-96,12,9.98505
632,-100,4,10.041
772,-64,32,10.099
1724,2036,-2028,10.154
1076,2012,-488,10.211
784,1164,860,10.272
468,1040,-352,10.332
756,756,-160,10.392
532,676,-352,10.448
396,872,-32,10.505
492,620,-68,10.563
372,844,-208,10.619
384,916,-104,10.678
296,960,200,10.734
292,1132,-156,10.792
496,932,-76,10.849
340,1016,-128,10.905
