-56,1148,-120,0.0419922
-28,952,24,0.100006
8,-284,156,0.160004
484,-172,104,0.220993
1152,-112,-16,0.279999
1808,-200,68,0.335999
2040,-168,188,0.393997
2040,-140,144,0.451996
2040,96,0,0.507004
2040,-28,-24,0.565994
2040,20,-260,0.621002
1096,140,-224,0.677002
492,152,8,0.735001
312,708,360,0.791992
388,440,12,0.847992
756,412,-152,0.906998
796,-216,-16,0.968002
2040,268,164,1.02699
2040,-28,-36,1.08299
2040,-244,104,1.14099
2040,-124,48,1.198
2040,-48,-216,1.255
1880,-76,72,1.314
960,-268,-12,1.37399
508,-60,-60,1.43401
152,-156,120,1.49001
200,-140,8,1.547
552,-76,44,1.605
916,-68,80,1.661
1708,-152,192,1.718
2040,-104,144,1.774
2040,-64,20,1.82899
2040,-112,-152,1.888
2040,-72,-192,1.94499
1900,128,-224,2.00099
1332,228,-352,2.06
452,168,-76,2.12099
304,224,4,2.18001
168,76,-48,2.23601
264,120,284,2.295
1044,120,136,2.351
1612,-92,316,2.407
2040,-328,244,2.46599
2040,-264,76,2.52699
2040,-116,188,2.58699
2040,-44,-148,2.64598
1916,-112,-272,2.70299
1148,-116,-140,2.75999
528,-180,200,2.81798
256,-88,-144,2.873
456,-48,252,2.93199
596,-88,360,2.98799
936,-216,264,3.04698
1748,-228,80,3.10399
2040,-148,204,3.15999
2040,-140,88,3.21599
2040,-180,-252,3.274
2040,48,-40,3.32799
1816,-104,-256,3.38698
1072,108,-32,3.44398
508,88,80,3.50099
268,132,444,3.55901
292,68,588,3.61998
768,132,364,3.68001
1120,76,264,3.73399
1904,-160,176,3.78899
2040,-172,-184,3.847
2040,-92,-124,3.907
2040,-124,-16,3.96498
2040,-120,-112,4.02
1380,-160,-84,4.08
872,-68,212,4.14
304,-136,552,4.2
284,-84,392,4.25499
540,-84,236,4.312
808,-44,216,4.36699
1240,-140,4,4.425
2040,-56,-48,4.481
2040,-76,-192,4.53999
2040,-68,-76,4.59999
2040,52,-132,4.65999
1900,56,-12,4.71599
1296,132,24,4.77299
812,248,68,4.83199
504,140,472,4.89198
408,60,444,4.95299
748,108,176,5.01198
1316,-4,104,5.06798
1824,-68,-88,5.12599
2040,-84,28,5.18498
2040,-188,-156,5.244
2040,-88,-40,5.299
1924,28,-28,5.356
1344,-100,128,5.41298
1044,8,-8,5.468
576,-32,112,5.52599
424,-96,148,5.58299
552,32,212,5.64
1140,-380,172,5.69798
1556,-104,112,5.75899
2040,-124,92,5.81898
2040,-32,-140,5.87401
2040,-72,-120,5.93199
2040,-64,-168,5.99001
1616,64,-24,6.04601
1152,52,-20,6.105
564,84,-108,6.16499
416,68,220,6.22099
596,104,304,6.27901
752,24,216,6.334
1424,52,-60,6.39101
1936,160,-72,6.45
2040,-4,-16,6.506
2040,-124,-364,6.56599
2040,-40,-200,6.62199
1748,-184,-16,6.679
1144,-128,60,6.73601
1052,-228,-140,6.79298
664,-40,152,6.85201
500,-56,276,6.912
624,-112,184,6.97099
1184,-16,108,7.03099
1556,-232,204,7.08699
2040,-136,20,7.145
2040,-68,-108,7.20299
2040,80,128,7.26299
1900,108,-252,7.32399
1452,64,-160,7.38399
1012,232,-136,7.43898
700,-32,112,7.49699
512,60,428,7.554
752,80,300,7.61101
1016,68,308,7.66899
1536,-104,-8,7.72899
2032,-96,132,7.78398
2040,-36,128,7.842
2040,-88,-220,7.89799
1792,-160,-152,7.95299
1504,-16,-228,8.011
900,-148,296,8.06798
688,-72,-136,8.12401
440,-128,300,8.183
668,-140,268,8.244
724,1468,-1052,8.304
1000,900,68,8.35899
608,-408,172,8.41701
852,1552,-868,8.47499
300,548,-20,8.53099
532,972,-96,8.58998
424,868,-108,8.644
432,888,16,8.70399
384,956,16,8.76399
360,940,268,8.82399
340,1024,-116,8.87999
380,844,-136,8.937
456,1172,36,8.99599
376,864,-44,9.05098
320,840,100,9.11
360,1024,24,9.17
260,1252,304,9.23
420,1080,-156,9.28999
372,848,-172,9.34499
